pressure
x	y	pressure
11.625	1.5	540.108351712578
11.875	1.5	540.080144672499
12.125	1.5	540.052282581982
12.375	1.5	540.024779642649
12.625	1.5	539.99764300542
12.875	1.5	539.970871681507
13.125	1.5	539.944454708979
13.375	1.5	539.918368122474
13.625	1.5	539.892570365847
13.875	1.5	539.866996007526
14.125	1.5	539.841547947931
14.375	1.5	539.816088685363
14.625	1.5	539.790431556538
14.875	1.5	539.764333149508
15.125	1.5	539.737488295484
15.375	1.5	539.709529137234
15.625	1.5	539.680029609524
15.875	1.5	539.648516134204
16.125	1.5	539.614484496789
16.375	1.5	539.577421926319
16.625	1.5	539.53683246748
16.875	1.5	539.492262882352
17.125	1.5	539.443325751475
17.375	1.5	539.389716496813
17.625	1.5	539.331221951207
17.875	1.5	539.267719733019
18.125	1.5	539.199169564039
18.375	1.5	539.125599156113
18.625	1.5	539.047087924094
18.875	1.5	538.963751480977
19.125	1.5	538.875728920705
19.375	1.5	538.783173741898
19.625	1.5	538.68624829231
19.875	1.5	538.585121009808
20.125	1.5	538.479965507894
20.375	1.5	538.370960601859
20.625	1.5	538.25829056884
20.875	1.5	538.14214517807
21.125	1.5	538.022719252
21.375	1.5	537.900211694862
21.625	1.5	537.77482404512
21.875	1.5	537.646758677238
22.125	1.5	537.516216806421
22.375	1.5	537.383396448768
22.625	1.5	537.248490469446
22.875	1.5	537.111684821677
23.125	1.5	536.973157046475
23.375	1.5	536.833075071801
23.625	1.5	536.691596323017
23.875	1.5	536.548867135516
24.125	1.5	536.405022445631
24.375	1.5	536.260185726687
24.625	1.5	536.114469132703
24.875	1.5	535.967973811505
25.125	1.5	535.820790350933
25.375	1.5	535.672999325307
25.625	1.5	535.524671913636
25.875	1.5	535.375870565548
26.125	1.5	535.226649695102
26.375	1.5	535.077056386449
26.625	1.5	534.927131098355
26.875	1.5	534.77690835716
27.125	1.5	534.626417429695
27.375	1.5	534.475682969184
27.625	1.5	534.324725628407
27.875	1.5	534.173562635342
28.125	1.5	534.022208327426
28.375	1.5	533.870674641405
28.625	1.5	533.718971556555
28.875	1.5	533.56710748997
29.125	1.5	533.41508964343
29.375	1.5	533.262924302277
29.625	1.5	533.110617087582
29.875	1.5	532.958173163663
30.125	1.5	532.805597403744
30.375	1.5	532.652894517141
