pressure
x	y	pressure
5.375	1.5	-9.62521252924657e+17
5.625	1.5	-9.63904746333349e+17
5.875	1.5	-9.65032798968221e+17
6.125	1.5	-9.65646146231691e+17
6.375	1.5	-9.65355935134688e+17
6.625	1.5	-9.63721698726134e+17
6.875	1.5	-9.60650019108371e+17
7.125	1.5	-9.56745818328686e+17
7.375	1.5	-9.44713368663642e+17
7.625	1.5	-8.90509593166744e+17
7.875	1.5	-6.2822342595774e+17
8.125	1.5	-5.75761269983208e+17
8.375	1.5	-5.63828114645357e+17
8.625	1.5	-5.58276182181473e+17
8.875	1.5	-5.52945468202658e+17
9.125	1.5	-5.47129217221746e+17
9.375	1.5	-5.40987549544709e+17
9.625	1.5	-5.3470782034829e+17
9.875	1.5	-5.28403317627702e+17
10.125	1.5	-5.22132035305218e+17
10.375	1.5	-5.1592081881461e+17
10.625	1.5	-5.09780439688568e+17
10.875	1.5	-5.03713709345454e+17
11.125	1.5	-4.97719637512175e+17
11.375	1.5	-4.91795522943026e+17
11.625	1.5	-4.85937992211709e+17
11.875	1.5	-4.80143507844235e+17
12.125	1.5	-4.74408609379495e+17
12.375	1.5	-4.68730020194812e+17
12.625	1.5	-4.63104687129491e+17
12.875	1.5	-4.57529786971235e+17
13.125	1.5	-4.52002717112872e+17
13.375	1.5	-4.46521079275514e+17
13.625	1.5	-4.41082660905914e+17
13.875	1.5	-4.35685416476765e+17
14.125	1.5	-4.30327449917047e+17
14.375	1.5	-4.25006998574504e+17
14.625	1.5	-4.19722418960716e+17
14.875	1.5	-4.14472174145135e+17
15.125	1.5	-4.09254822837061e+17
15.375	1.5	-4.04069009790332e+17
15.625	1.5	-3.98913457567718e+17
15.875	1.5	-3.93786959333763e+17
16.125	1.5	-3.88688372668236e+17
16.375	1.5	-3.83616614133632e+17
16.625	1.5	-3.78570654565439e+17
16.875	1.5	-3.73549514914951e+17
17.125	1.5	-3.68552262603709e+17
17.375	1.5	-3.63578008298618e+17
17.625	1.5	-3.58625903015065e+17
17.875	1.5	-3.53695135562486e+17
